OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Shape_Leng,Shape_Area,Name,Gazette_Ty,Gazette_No,LGA,LCDA,Size,Date_1,Hyperlink,Shape_Le_1,Gazette__1
6972,LWPolyline,0,3,Continuous,0.0,20,,1866.66491901,217707.305962,OKE SEGUN,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6973,LWPolyline,0,1,Continuous,0.0,25,,635.822817952,25068.03255,"COMMUNITY SENIOR 
HIGH SCHOOL,  
MAGBON SEGUN",Allocation,PLAN NO:-LS/D/BK280,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6974,LWPolyline,0,-2,Continuous,0.0,20,,1151.64446629,64646.6206427,"COMMUNITY SENIOR HIGH SCHOOL, 
MAGBON SEGUN",Allocation,PLAN NO:-LS/D/LA2272,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6975,LWPolyline,GARMIN,3,Continuous,0.0,25,,1141.61043068,55779.7751052,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6976,LWPolyline,ObscuredArea,5,BYBLOCK,0.0,25,,1117.61300655,60147.5214611,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6978,LWPolyline,OBAYOMI C,2,BYBLOCK,0.0,100,,1775.98729616,124231.371358,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6980,LWPolyline,0,3,Continuous,0.0,90,,2297.33019544,317926.328014,IDASHO Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6981,LWPolyline,0,1,Continuous,0.0,70,,1701.55639559,171281.491384,L W.I.L,,PLAN NO:-LS/D/BK377,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6982,LWPolyline,OAJOSE,6,BYBLOCK,0.0,80,,1343.3216715,101682.329428,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6983,LWPolyline,0,1,Continuous,0.0,70,,982.751886836,39239.4883511,ACCESS  ROAD,,PLAN NO:-LS/D/BK372,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6984,LWPolyline,0,4,Continuous,0.0,20,,409.822079155,4456.40059847,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6985,LWPolyline,0,1,Continuous,0.0,35,,1059.4927203,62544.6677027,PUMA ENERGY LIMITED,Allocation,"C of O
REG  NO.10 PAGE 10
VOL. 2013G",Ibeju-Lekki,Lekki,0.0,2011/10/02,,0.0,
6987,LWPolyline,0,3,Continuous,0.0,20,,2502.49093525,300513.895015,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6988,LWPolyline,0,5,Continuous,0.0,60,,1145.68784931,79795.8019192,L W.I.L,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6989,LWPolyline,0,-2,Continuous,0.0,20,,1174.71742461,51083.8275502,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6990,LWPolyline,0,7,Continuous,0.0,20,,2653.66791321,225688.014959,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6991,LWPolyline,0,3,Continuous,0.0,90,,2928.96370902,414015.122431,TIYE Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6992,LWPolyline,0,7,Continuous,0.0,20,,1401.60846927,78080.3646143,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6993,LWPolyline,0,-2,Continuous,0.0,20,,1720.99863977,125951.813586,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6994,LWPolyline,0,3,Continuous,0.0,20,,2430.85526951,224692.72195,TIYE Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6995,LWPolyline,0,188,Continuous,0.0,100,,1331.31300972,92262.7275487,"EKO
RESORT",Allocation,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6996,LWPolyline,0,3,Continuous,0.0,90,,1643.44356364,125879.293546,SANGODERO Village,Excision,PLAN NO:-LS/D/BK239,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6997,LWPolyline,0,1,Continuous,0.0,80,,22000.8921504,30004055.3179,"GOVERNMENT LAND ALLOCATION
FREE TRADE ZONE",Allocation,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6998,LWPolyline,0,1,Continuous,0.0,80,,25388.6004458,26353579.663,"GOVERNMENT LAND ALLOCATION
DANGOTE REFINARY",Allocation,PLAN NO:- LS/D/BK 45,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
